Región	Distrito	Municipio Escolar	Código	Escuela	Latitud	Longitud	Status	Nivel	Grado que ofrece	Montessori	Total M1Certificada	Total M1Activa	Estrellas	Puntuación	Clasificación ESSA	Tasa de Deserción	Teléfono	Dirección Física 	Pueblo	Estado	Zipcode	Email	Año_ID
Arecibo	Camuy	Lares	18226	Héctor Hernández Arana	18.3181743523045	-66.8731038191634	Abierta	Primario	K 1 2 3 4 5 EE	No	405	400	5	86.6%	Others	1.42%	897-8100	Carr 129 Km 24.7	Lares	PR	6690000	D18226@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71753	Ignacio Miranda	18.41052	-66.32616	Abierta	Primario	K 1 2 3 4 5	No	295	287	4	74.8%	Others	4.72%	883-2775	Calle B Urb Las Colinas	Vega Alta	PR	6930000	D71753@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	79038	Ileana De Gracia (Superior Nueva)	18.41993	-66.33517	Abierta	Secundario	9 10 11 12 ES	No	632	399	2	39.4%	Others	8.12%	270-3355	Carr 2 Km 31 Hm 8 Sect Bajuras	Vega Alta	PR	9620000	D79038@de.pr.gov	2020-2021
Arecibo	Manatí	Barceloneta	10744	Imbery	18.43753	-66.55764	Abierta	Primario	K 1 2 3 4 5 EE	No	343	340	3	47.4%	Others	0.28%	846-0361	Parcelas Imbery Calle 6 Esq 5	Barceloneta	PR	6170000	D10744@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	17392	Instituto Tec Recinto De Manati	18.4329039553549	-66.4723069869734	Abierta	PS - Instituto	SHARED	No					N/A		854-2050	Carr 2 Km 4 Hm 3	Manatí	PR	6740000	D17392@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	71076	Jacinto López Martínez	18.46031	-66.26129	Abierta	Primario	K 1 2 3 4 5 EE	No	350	343	2	34.1%	Others	2.75%	796-1255	Calle Norte #200	Dorado	PR	6460000	D71076@de.pr.gov	2020-2021
Arecibo	Manatí	Ciales	17889	Jaime Coira Ortiz	18.27293	-66.48243	Abierta	Primario	PK K 1 2 3 4 5 6 7 8	No	194	195	4	71.6%	Others	0.00%	871-4692	Carr 149 Ramal 615 Km 7	Ciales	PR	6380000	D17889@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	12096	Jesús T. Piñero	18.42624	-66.49088	Abierta	Primario	6 7 8 EI	No	239	241	1	15.6%	Targeted	3.89%	854-2259	Ave Rosas Esq Patriota Pozo	Manatí	PR	6740000	D12096@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	10355	John W. Harris	18.46304	-66.73129	Abierta	Todos Los Niveles	PK K 1 2 3 4 5 EE EI ES	No	231	231	3	41.7%	Others	1.63%	878-1514	Ave Constitucion Bo Cotto	Arecibo	PR	6120000	D10355@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	18267	Jose Pagan de Jesús	18.43816	-66.33306	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	527	510	2	37.3%	Others	1.49%	270-8030	Carr 690 Kh.2.2 Bo Sabana Hoyos	Vega Alta	PR	9620962	D18267@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	71092	José Santos Alegría	18.46249	-66.26696	Abierta	Secundario	9 10 11 12 ES	No	749	717	2	34.5%	Others	5.63%	796-1520	Pedro J Rijos Final	Dorado	PR	6460001	D71092@de.pr.gov	2020-2021
Arecibo	Manatí	Ciales	17319	Juan A. Corretjer	18.34071	-66.47404	Abierta	Secundario	9 10 11 12 ES	No	543	517	2	22.6%	Others	3.73%	871-5405	Carr 146 Km 2 Bo Cordillera	Ciales	PR	6380000	D17319@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	14779	Juan A. Sánchez Dávila	18.42371	-66.48107	Abierta	Primario	K 1 2 3 4 5 EE	No	218	222	3	46.5%	Others	2.47%	854-7747	Carr 670 Km 1 Hm 2	Manatí	PR	6740000	D14779@de.pr.gov	2020-2021
Arecibo	Camuy	Quebradillas	12930	Juan Alejo Arizmendi	18.47474	-66.93604	Abierta	Secundario	9 10 11 12	No	367	358	2	22.4%	Others	0.80%	895-2180	Calle Francisco Avila	Quebradillas	PR	6780000	D12930@de.pr.gov	2020-2021
Arecibo	Manatí	Florida	10827	Juan Ponce De León II	18.35825	-66.56795	Abierta	Secundario	9 10 11 12 ES	No	545	514	3	43.9%	Others	5.09%	822-2050	Carr 631 Km 5 Bo Ceiba	Florida	PR	6500000	D10827@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	75267	Juan Quirindongo Morell	18.43197	-66.39969	Abierta	Secundario	9 10 11 12	No	499	445	2	32.1%	Others	7.20%	858-7844	Calle Q Fernal Urb El Rosario	Vega Baja	PR	6930000	D75267@de.pr.gov	2020-2021
Arecibo	Manatí	Florida	10710	Juanita Ramírez González	18.36364	-66.55081	Abierta	Primario	K 1 2 3 4 5 EE	No	322	314	3	54.0%	Others	1.19%	822-2190	Carr 642 Km 10 Hm 3 Comunidad Arroyo	Florida	PR	6500000	D10710@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	11908	Julio Lebrón Soto	18.18159	-66.83379	Abierta	Primario	PK K 1 2 3 4 5 6 EE	No	220	221	3	41.2%	Others	0.45%	829-3916	Carr 135 Km 60 Bo Castañer	Lares	PR	6690000	D11908@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	10314	Julio Seijo	18.44455	-66.75505	Abierta	Primario	PK K 1 2 3 4 5	No	175	174	4	78.5%	Others	3.80%	878-2062	Carr 129 Km 28 Hm 3 Bo Hato Arriba	Arecibo	PR	6120000	D10314@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71779	Ladislao Martínez	18.40969	-66.32461	Abierta	Secundario	9 10 11 12	No	376	478	2	29.1%	Others	6.26%	883-5105	Calle C Urb Las Colinas	Vega Alta	PR	9620000	D71779@de.pr.gov	2020-2021
Arecibo	Manatí	Florida	17764	Leonardo Valentín Tirado	18.37234	-66.56535	Abierta	Primario	6 7 8	No	300	306	2	29.6%	Others	4.88%	822-2263	Carr 140 Calle Ramon Torres #12	Florida	PR	6500000	D17764@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	14316	Libre De Musica	18.47243	-66.71874	Abierta	Todos Los Niveles	SHARED	No					N/A		879-3567	Carr 662 Sector Los Llanos Bo Santana	Arecibo	PR	6120000	D14316@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	71894	Lino Padrón Rivera	18.44501	-66.38459	Abierta	Secundario	9 10 11 12 ES	No	732	692	2	22.3%	Others	7.65%	858-2110	Calle Tulio Otero	Vega Baja	PR	6930000	D71894@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	11528	Lorenzo Coballes Gandía	18.48155	-66.82068	Abierta	Todos Los Niveles	6 7 8 9 10 11 12 ES	No	392	385	1	16.7%	Comprehensive	5.98%	898-4300	Carr 130 Km. 0.1 Sect. Los Alvarez	Hatillo	PR	6590000	D11528@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	17384	Luis F. Crespo	18.46535	-66.85207	Abierta	Secundario	9 10 11 12 ES	No	699	664	2	35.4%	Others	8.06%	262-8421	Carr 486 Km 3 Bo Puente	Camuy	PR	6270000	D17384@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	11756	Luis Felipe Rodríguez García	18.43254	-66.89158	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	543	544	3	53.7%	Others	1.07%	898-0990	Carr #483 Km 13 Hm 1 Bo Piedra Gorda Sector El Calvario	Arecibo	PR	6270000	D11756@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	11387	Luis Meléndez Rodríguez	18.4066106434772	-66.7813563817338	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	517	522	3	40.9%	Others	0.56%	898-9497	Carr 130 Km 11 Hm 1 Bo Campo Alegre	Hatillo	PR	6590000	D11387@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	17111	Luis Muñoz Marín	18.4662	-66.74674	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	305	310	2	36.4%	Others	3.69%	880-0757	Carr 53 Km 1 Hm 5 Sect Barrancas	Arecibo	PR	6120000	D17111@de.pr.gov	2020-2021
Arecibo	Arecibo	Hatillo	11395	Luis Muñoz Rivera	18.45915	-66.80866	Abierta	Primario	K 1 2 3 4 5	No	335	328	4	65.1%	Others	1.46%	898-1830	Carr 130 Km 3 Hm 5 Bo Capaez	Hatillo	PR	6590000	D11395@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	71134	Luisa M. Valderrama (San Antonio)	18.44889	-66.29355	Abierta	Primario	K 1 2 3 4 5 EE	No	241	247	4	60.3%	Others	3.79%	796-4410	Carr 696 Km 1Hm 5 Bo Higillar	Dorado	PR	6460000	D71134@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	72082	Manuel Martínez Dávila	18.42951	-66.40829	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	545	541	2	26.8%	Others	2.43%	858-1152	Carr 155 Bo Pugnado	Vega Baja	PR	6930000	D72082@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	18192	María Cadilla de Martínez	18.4413	-66.75795	Abierta	Secundario	9 10 11 12	No	388	376	2	37.9%	Others	5.10%	878-3480	Carr 129 Sector Las Cunetas, Int Carr 490 Frente Urb Villa Toledo	Arecibo	PR	6120000	D18192@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	17418	Nueva Juan S. Marchand	18.46071	-66.48679	Abierta	Primario	K 1 2 3 4 5 6 7 8	No	433	441	2	39.0%	Others	3.22%	854-4541	Carr 685 Sect Los Rabanos Bo Boquillas	Manatí	PR	6740000	D17418@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	13912	Nueva Brígida Álvarez Rodríguez	18.445451	-66.389915	Abierta	Todos Los Niveles	K 1 2 3 4 5 6 7 8 9 10 11 12 EE	No	732	675	5	80.7%	Others	8.60%	858-9649	Calle Betances Num.75	Vega Baja	PR	6930000	D13912@de.pr.gov	2020-2021
Arecibo	Manatí	Barceloneta	18184	Nueva Intermedia	18.4454	-66.55698	Abierta	Primario	6 7 8 EI	No	320	332	2	27.9%	Targeted	2.54%	846-2460	Carr 140 Bo Llanadas	Barceloneta	PR	6170000	D18184@de.pr.gov	2020-2021
Arecibo	Manatí	Ciales	18291	Nueva Urbana de Ciales	18.33875	-66.46743	Abierta	Primario	PK K 1 2 3 4 5 6 7 8 EE EI	Sí	653	667	2	25.8%	Others	3.13%	(787) 871-3165	Ext Corchado Salida Bo Pueblo	Ciales	PR	6380000	D18291@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	11080	Pedro Amador	18.48358	-66.88499	Abierta	Primario	K 1 2 3 4 5 EE	No	172	172	3	59.0%	Others	0.56%	898-1337	Carr 485 Km 2 Hm 2 Sect Bajura Bo Yaguada	Camuy	PR	6270000	D11080@de.pr.gov	2020-2021
Arecibo	Manatí	Manatí	17350	Petra Corretjer de O'Neill	18.42493	-66.46694	Abierta	Secundario	9 10 11 12 ES	No	569	520	3	50.4%	Others	5.56%	854-6601	Carr 670 Km 2 Hm 7	Manatí	PR	6740000	D17350@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	11940	Profesor Rafael Alicea Vazquez (Josefina Linares)	18.2910909245233	-66.8385197609653	Abierta	Todos Los Niveles	2 3 4 5 6 7 8 9 10 11 12 EI ES	No	215	204	2	40.0%	Others	4.46%	897-1865	Carr 111 Km 12.5 Bo. Lares	Lares	PR	6690000	D11940@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	71746	Rafael Hernández	18.41734	-66.30981	Abierta	Primario	K 1 2 3 4 5	No	269	269	4	71.9%	Others	1.08%	883-1025	Calle 3 Urb Santa Ana	Vega Alta	PR	6920000	D71746@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	72058	Rafael Hernández	18.44813	-66.40785	Abierta	Primario	K 1 2 3 4 5 EE	No	244	242	3	47.8%	Others	3.38%	858-1994	Calle 12 I 100 Urb Jardines De Vega Baja	Vega Baja	PR	6930000	D72058@de.pr.gov	2020-2021
Arecibo	Camuy	Camuy	10967	Ralph W. Emerson	18.47208	-66.8733	Abierta	Primario	K 1 2 3 4 5 EE	No	409	401	3	55.5%	Others	0.72%	898-2037	Carr 2 Km 92.5 Hm 3 Bo Membrillo	Camuy	PR	6270000	D10967@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	15917	Ramón de Jesús Sierra	18.2979316278074	-66.8802644789522	Abierta	Primario	6 7 8	No	451	448	2	31.0%	Others	0.22%	897-2590	Ave Los Patriotas	Lares	PR	6690000	D15917@de.pr.gov	2020-2021
Arecibo	Camuy	Quebradillas	12799	Ramón Emeterio Betances	18.47587	-66.93838	Abierta	Primario	PK K 1 2 3 4 5 EE	No	280	277	3	56.9%	Others	0.70%	895-2575	236 Calle San Justo	Quebradillas	PR	6780000	D12799@de.pr.gov	2020-2021
Arecibo	Vega Alta	Dorado	71084	Ricardo Arroyo Laracuente	18.46326	-66.26681	Abierta	Primario	6 7 8 EI	No	276	277	2	23.8%	Targeted	3.40%	796-1222	Calle Pedro J Carrionl #10	Dorado	PR	6460000	D71084@de.pr.gov	2020-2021
Arecibo	Manatí	Florida	17459	Ricardo Rodríguez Torres	18.36411	-66.57161	Abierta	Primario	PK K 1 2 3 4 5 EE	No	248	251	4	67.3%	Others	1.16%	822-1005	Carr 645 Km 12 Hm 3 Calle Antonio Alcarza	Florida	PR	6270000	D17459@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	71878	San Vicente	18.45529	-66.38282	Abierta	Primario	K 1 2 3 4 5	No	316	331	3	49.7%	Others	2.36%	807-6034	Urb San Vicente 82 Calle 10	Vega Baja	PR	6930000	D71878@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Baja	72090	S. U. Almirante Norte	18.40873	-66.36765	Abierta	Primario	PK K 1 2 3 4 5 6 7 8 EE EI	No	471	480	2	22.5%	Others	1.60%	855-0931	Carr 160 Km 4 Hm 3 Bo Almirante Norte	Vega Baja	PR	6930000	D72090@de.pr.gov	2020-2021
Arecibo	Camuy	Lares	11932	S. U. Angélica Delgado	18.26961	-66.85241	Abierta	Primario	PK K 1 2 3 4 5 6 7 8 EE EI	No	401	405	3	57.9%	Others	0.97%	897-1905	Carr 129 Km 135 Barrio Buenos Aires Sec La America	Lares	PR	6690000	D11932@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo II	17749	S. U. Barrio Sabana Hoyos (Nueva)	18.40143	-66.60302	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE EI	No	595	600	2	38.5%	Others	2.46%	815-9087	Carr 639 Km 3 Hm 2 Bo. Sabana Hoyos	Arecibo	PR	6880000	D17749@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	10322	S. U. Enrique de Jesús Borrás	18.40842	-66.69891	Abierta	Todos Los Niveles	K 1 2 3 4 5 6 7 8 EE EI ES	No	214	217	4	76.0%	Others	1.37%	878-7699	Carr 10 Km 78 Hm 9 Bo Hato Viejo	Arecibo	PR	6120000	D10322@de.pr.gov	2020-2021
Arecibo	Arecibo	Arecibo I	10546	S. U. Federico Degetau	18.44575	-66.665	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	538	534	2	28.8%	Others	1.50%	881-1524	Carr 2 Km 68 Bo Santana	Arecibo	PR	6120000	D10546@de.pr.gov	2020-2021
Arecibo	Vega Alta	Vega Alta	76349	S. U. Francisco Felicie Martínez	18.44576	-66.34864	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	525	527	3	40.5%	Others	1.09%	883-4535	Carr 693 Calle 2 Km 14 Hm 4 Bo Breñas	Vega Alta	PR	6920000	D76349@de.pr.gov	2020-2021
Arecibo	Manatí	Ciales	11320	Superior Francisco Serrano	18.2958	-66.49264	Abierta	Primario	PK K 1 2 3 4 5 6 7 8	No	322	332	2	27.4%	Others	2.07%	871-3385	Carr 149 Km 20 Hm 9 Bo Pesa	Ciales	PR	6380000	D11320@de.pr.gov	2020-2021
Arecibo	Camuy	Quebradillas	12914	S. U. Honorio Hernández	18.44124	-66.93173	Abierta	Primario	K 1 2 3 4 5 6 7 8 EE	No	336	341	3	41.5%	Targeted	0.00%	895-2962	Carr 113 Km 3 Hm 8 Bo San Antonio	Quebradillas	PR	6780000	D12914@de.pr.gov	2020-2021
